Linac Beam 
5.4336303812e+01 1.1056496612e+02 1.1056496612e+02 
5.4433754791e+01 1.1056495906e+02 1.1056495906e+02 
5.4588245000e+01 1.1056495906e+02 1.1056495906e+02 
5.4685695979e+01 1.1056495407e+02 1.1056495407e+02 
5.4783146958e+01 1.1054723186e+02 1.1054723186e+02 
5.4880597937e+01 1.1114034806e+02 1.1114034806e+02 
5.4978048916e+01 1.1235763145e+02 1.1235763145e+02 
5.5075499895e+01 1.1278836282e+02 1.1278836282e+02 
5.5172950874e+01 1.1359318176e+02 1.1359318176e+02 
5.5270401853e+01 1.1422554563e+02 1.1422554563e+02 
5.5367852832e+01 1.1559416107e+02 1.1559416107e+02 
5.5465303812e+01 1.1559892274e+02 1.1559892274e+02 
5.5562754791e+01 1.1559891576e+02 1.1559891576e+02 
5.5950745000e+01 1.1559891576e+02 1.1559891576e+02 
5.6110745000e+01 1.1559891576e+02 1.1559891576e+02 
5.6420745000e+01 1.1559891576e+02 1.1559891576e+02 
5.6880745000e+01 1.1559891576e+02 1.1559891576e+02 
5.7190745000e+01 1.1559891576e+02 1.1559891576e+02 
5.7350745000e+01 1.1559891576e+02 1.1559891576e+02 
5.7719245000e+01 1.1559891576e+02 1.1559891576e+02 
5.7816695979e+01 1.1559891022e+02 1.1559891022e+02 
5.7914146958e+01 1.1558341784e+02 1.1558341784e+02 
5.8011597937e+01 1.1627686037e+02 1.1627686037e+02 
5.8109048916e+01 1.1748087149e+02 1.1748087149e+02 
5.8206499895e+01 1.1792620685e+02 1.1792620685e+02 
5.8303950874e+01 1.1873331841e+02 1.1873331841e+02 
5.8401401853e+01 1.1932589140e+02 1.1932589140e+02 
5.8498852832e+01 1.2072030982e+02 1.2072030982e+02 
5.8596303812e+01 1.2072739170e+02 1.2072739170e+02 
5.8693754791e+01 1.2072738487e+02 1.2072738487e+02 
5.8848245000e+01 1.2072738487e+02 1.2072738487e+02 
5.8945695979e+01 1.2072737889e+02 1.2072737889e+02 
5.9043146958e+01 1.2071416198e+02 1.2071416198e+02 
5.9140597937e+01 1.2149948893e+02 1.2149948893e+02 
5.9238048916e+01 1.2268716785e+02 1.2268716785e+02 
5.9335499895e+01 1.2314649447e+02 1.2314649447e+02 
5.9432950874e+01 1.2395568239e+02 1.2395568239e+02 
5.9530401853e+01 1.2450995742e+02 1.2450995742e+02 
5.9627852832e+01 1.2592394407e+02 1.2592394407e+02 
5.9725303812e+01 1.2593317472e+02 1.2593317472e+02 
5.9822754791e+01 1.2593316812e+02 1.2593316812e+02 
6.0210745000e+01 1.2593316812e+02 1.2593316812e+02 
6.0370745000e+01 1.2593316812e+02 1.2593316812e+02 
6.0680745000e+01 1.2593316812e+02 1.2593316812e+02 
6.1140745000e+01 1.2593316812e+02 1.2593316812e+02 
6.1450745000e+01 1.2593316812e+02 1.2593316812e+02 
6.1610745000e+01 1.2593316812e+02 1.2593316812e+02 
6.1979245000e+01 1.2593316812e+02 1.2593316812e+02 
6.2076695979e+01 1.2593316183e+02 1.2593316183e+02 
6.2174146958e+01 1.2592205691e+02 1.2592205691e+02 
6.2271597937e+01 1.2678364120e+02 1.2678364120e+02 
6.2369048916e+01 1.2795557130e+02 1.2795557130e+02 
6.2466499895e+01 1.2842387062e+02 1.2842387062e+02 
6.2563950874e+01 1.2923593866e+02 1.2923593866e+02 
6.2661401853e+01 1.2974584118e+02 1.2974584118e+02 
6.2758852832e+01 1.3117494501e+02 1.3117494501e+02 
6.2856303812e+01 1.3118632395e+02 1.3118632395e+02 
6.2953754791e+01 1.3118631765e+02 1.3118631765e+02 
6.3108245000e+01 1.3118631765e+02 1.3118631765e+02 
6.3205695979e+01 1.3118631114e+02 1.3118631114e+02 
6.3303146958e+01 1.3117723127e+02 1.3117723127e+02 
6.3400597937e+01 1.3210581528e+02 1.3210581528e+02 
6.3498048916e+01 1.3326154283e+02 1.3326154283e+02 
6.3595499895e+01 1.3373715260e+02 1.3373715260e+02 
6.3692950874e+01 1.3455210757e+02 1.3455210757e+02 
6.3790401853e+01 1.3501719073e+02 1.3501719073e+02 
6.3887852832e+01 1.3645581604e+02 1.3645581604e+02 
6.3985303812e+01 1.3646920161e+02 1.3646920161e+02 
6.4082754791e+01 1.3646919567e+02 1.3646919567e+02 
6.4470745000e+01 1.3646919567e+02 1.3646919567e+02 
